Symbol,Date,Open,High,Low,Close,Adj Close,Volume
META,12/9/22,115.300003,117.5400009,113.8700027,115.9000015,115.9000015,26033400
META,12/12/22,115.18,115.7200012,113.1399994,114.7099991,114.7099991,24747100
META,12/13/22,122.129997,123.3000031,118.6399994,120.1500015,120.1500015,44701100
META,12/14/22,119.389999,124.1399994,119.3899994,121.5899963,121.5899963,36922000
META,12/15/22,118.330002,118.6299973,114.0100021,116.1500015,116.1500015,34531000
META,12/16/22,120.230003,123.3099976,118.8199997,119.4300003,119.4300003,67064000
META,12/19/22,116.830002,117.8000031,114.3300018,114.4800034,114.4800034,29769900
META,12/20/22,113.260002,117.3300018,112.4599991,117.0899963,117.0899963,28742500
META,12/21/22,116.699997,120.3399963,115.6200027,119.7600021,119.7600021,20392800
META,12/22/22,117.199997,118.6200027,114.3799973,117.1200027,117.1200027,23618100
META,12/23/22,116.029999,118.1800003,115.5400009,118.0400009,118.0400009,17796600
META,12/27/22,117.93,118.5999985,116.0500031,116.8799973,116.8799973,21392300
META,12/28/22,116.25,118.1500015,115.5100021,115.6200027,115.6200027,19612500
META,12/29/22,116.400002,121.0299988,115.7699966,120.2600021,120.2600021,22366200
META,12/30/22,118.160004,120.4199982,117.7399979,120.3399963,120.3399963,19492100
META,1/3/23,122.82,126.3700027,122.2799988,124.7399979,124.7399979,35528500
META,1/4/23,127.379997,129.0500031,125.8499985,127.3700027,127.3700027,32397100
META,1/5/23,126.129997,128.5200043,124.5400009,126.9400024,126.9400024,25447100
META,1/6/23,128.970001,130.3300018,126.0400009,130.0200043,130.0200043,27567600
META,1/9/23,131.160004,132.9499969,129.2799988,129.4700012,129.4700012,26649100
META,1/10/23,127.269997,133.4400024,127.1500015,132.9900055,132.9900055,28684400
META,1/11/23,130.960007,133.8500061,130.3399963,132.8899994,132.8899994,25423000
META,1/12/23,133.440002,137.6799927,131.7599945,136.7100067,136.7100067,30757700
META,1/13/23,134.970001,137.3899994,134.8399963,136.9799957,136.9799957,22410700
META,1/17/23,136.179993,136.75,134.25,135.3600006,135.3600006,21147600
META,1/18/23,135.809998,137.25,132.8000031,133.0200043,133.0200043,20215500
META,1/19/23,132.490005,137.4499969,132.1399994,136.1499939,136.1499939,28625200
META,1/20/23,135.889999,139.9400024,134.6100006,139.3699951,139.3699951,28643100
META,1/23/23,139.289993,143.7599945,138.6600037,143.2700043,143.2700043,27470100
META,1/24/23,141.690002,145,141.3600006,143.1399994,143.1399994,21970200
META,1/25/23,141.220001,143.1699982,140.3099976,141.5,141.5,26622000
META,1/26/23,144.399994,147.5099945,143.3000031,147.3000031,147.3000031,25482100
META,1/27/23,148.240005,153.1900024,147.3899994,151.7400055,151.7400055,35746900
META,1/30/23,149.410004,151.1199951,146.9499969,147.0599976,147.0599976,28040100
META,1/31/23,147.949997,149.8800049,147.5200043,148.9700012,148.9700012,29842100
META,2/1/23,148.029999,153.5800018,147.0599976,153.1199951,153.1199951,55661000
META,2/2/23,183.380005,197.1600037,180.1600037,188.7700043,188.7700043,150475700
META,2/3/23,183.470001,196.7700043,182.8899994,186.5299988,186.5299988,76733100
META,2/6/23,186.529999,190.6999969,185.5200043,186.0599976,186.0599976,42483800
